iter	RMSE
0	13856822.76
1	13670479.22
2	13498347.35
3	13429007.75
4	13266784.36
5	13099736.56
6	12925460.85
7	12751324.01
8	12581438.09
9	12443186.14
10	12316122.27
11	12183449.93
12	12021797.64
13	11871409.1
14	11727153.36
15	11590485.6
16	11477465.11
17	11354292.92
18	11225998.62
19	11143415.62
20	11041008.42
21	10919385.35
22	10806762.19
23	10728787.05
24	10607578.51
25	10496326.78
26	10384631.39
27	10279163.45
28	10177067.27
29	10072835.29
30	10047304.72
31	9936414.346
32	9833889.98
33	9737519.64
34	9631528.101
35	9547620.949
36	9472292.627
37	9388577.873
38	9301358.458
39	9219147.396
40	9133983.117
41	9051889.475
42	8984120.581
43	8907550.464
44	8838509.885
45	8759711.815
46	8681258.007
47	8606232.722
48	8546899.414
49	8482968.668
50	8418563.328
51	8358828.943
52	8298571.369
53	8257892.408
54	8201189.646
55	8148027.924
56	8095662.257
57	8047148.12
58	7991746.828
59	7940298.245
60	7880835.301
61	7880715.951
62	7834974.365
63	7787098.296
64	7741725.98
65	7699037.95
66	7661962.624
67	7620457.734
68	7578782.932
69	7533514.254
70	7492853.7
71	7452486.51
72	7414700.098
73	7372804.22
74	7338429.11
75	7296439.756
76	7260008.196
77	7224821.376
78	7189917.8
79	7156497.027
80	7122617.886
81	7117761.278
82	7084308.256
83	7050986.839
84	7014633.052
85	6983280.581
86	6952024.56
87	6922897.565
88	6892385.842
89	6892284.655
90	6875472.034
91	6846288.079
92	6846195.566
93	6813383.012
94	6786268.068
95	6756402.145
96	6731262.804
97	6702958.609
98	6674071.318
99	6642476.794
100	6615556.203
101	6601820.462
102	6580193.136
103	6559912.339
104	6541444.866
105	6520525.176
106	6520446.382
107	6498381.882
108	6474277.251
109	6452835.361
110	6435015.757
111	6415564.917
112	6393299.944
113	6367822.427
114	6347496.548
115	6324316.748
116	6323933.64
117	6307325.502
118	6290165.303
119	6270142.797
120	6252253.633
121	6235820.932
122	6219152.87
123	6199395.251
124	6181775.175
125	6166795.686
126	6154859.284
127	6139209.097
128	6125540.839
129	6108040.985
130	6094245.04
131	6082958.906
132	6066506.694
133	6054811.459
134	6041980.494
135	6027505.177
136	6010810.377
137	5997505.65
138	5983643.405
139	5971424.607
140	5966111.333
141	5946390.379
142	5932691.039
143	5923376.645
144	5907813.729
145	5896326.547
146	5882337.32
147	5868595.037
148	5857252.205
149	5846073.127
150	5836240.171
151	5824489.444
152	5810850.369
153	5799516.146
154	5788913.18
155	5777258.841
156	5763826.823
157	5755347.915
158	5744742.55
159	5732553.38
160	5728081.509
161	5726209.123
162	5715595.543
163	5708525.233
164	5694318.759
165	5685967.039
166	5679525.854
167	5669626.546
168	5657429.165
169	5648110.105
170	5637838.652
171	5626047.784
172	5623496.974
173	5618801.469
174	5611888.56
175	5605083.501
176	5595575.052
177	5586842.096
178	5585129.888
179	5573176.373
180	5568231.642
181	5560197.157
182	5552314.373
183	5547708.373
184	5540314.547
185	5526899.451
186	5521171.199
187	5514740.429
188	5504903.894
189	5495092.443
190	5485978.176
191	5475757.846
192	5461594.375
193	5455748.845
194	5446578.074
195	5438647.972
196	5428724.734
197	5419563.332
198	5412856.99
199	5405446.685
200	5401465.925
201	5392745.289
202	5391306.596
203	5385978.93
204	5385963.414
205	5380840.335
206	5379443.299
207	5369511.82
208	5366111.754
209	5360279.905
210	5354337.033
211	5350962.776
212	5346870.868
213	5337145.161
214	5332128.241
215	5324832.401
216	5317279.1
217	5311918.131
218	5307777.219
219	5303225.576
220	5292310.522
221	5284153.345
222	5273951.279
223	5268230.223
224	5260434.122
225	5257876.206
226	5254750.251
227	5247420.916
228	5238974.154
229	5234888.335
230	5228104.767
231	5221529.545
232	5214265.141
233	5207330.548
234	5200766.59
235	5197062.874
236	5196044.437
237	5188607.913
238	5182589.748
239	5176097.719
240	5172530.749
241	5168800.406
242	5163389.045
243	5159225.784
244	5154318.236
245	5151346.731
246	5145543.01
247	5144516.131
248	5141413.907
249	5135287.329
250	5134593.81
251	5130972.526
252	5124017.334
253	5122633.822
254	5118231.123
255	5109119.285
256	5101854.889
257	5096572.482
