iter	Passed	Remaining
0	2	7225
1	4	7090
2	7	7352
3	9	7316
4	11	7263
5	14	7332
6	17	7437
7	19	7486
8	22	7477
9	25	7614
10	28	7769
11	31	7835
12	33	7820
13	36	7862
14	39	7884
15	41	7863
16	44	7954
17	47	7918
18	49	7920
19	52	7894
20	54	7907
21	57	7890
22	60	7981
23	63	7991
24	66	8009
25	68	7990
26	71	7991
27	74	8028
28	77	8013
29	80	8034
30	82	8015
31	85	8005
32	87	8002
33	91	8062
34	93	8068
35	96	8051
36	99	8060
37	101	8056
38	104	8050
39	107	8097
40	110	8110
41	113	8098
42	115	8080
43	118	8084
44	121	8095
45	124	8137
46	128	8158
47	131	8182
48	134	8186
49	137	8211
50	140	8240
51	142	8214
52	145	8196
53	147	8170
54	150	8160
55	153	8163
56	156	8184
57	159	8181
58	161	8170
59	164	8156
60	166	8139
61	168	8103
62	171	8111
63	174	8095
64	176	8080
65	179	8069
66	181	8061
67	183	8041
68	186	8040
69	189	8034
70	192	8032
71	194	8023
72	196	8007
73	199	8004
74	202	7995
75	204	7992
76	207	7994
77	210	7991
78	212	7981
79	215	7970
80	217	7953
81	220	7965
82	224	7995
83	226	7989
84	229	7983
85	232	7972
86	234	7955
87	237	7974
88	240	7981
89	243	7978
90	245	7965
91	248	7965
92	251	7964
93	254	7968
94	256	7960
95	259	7960
96	262	7953
97	264	7943
98	267	7956
99	270	7943
100	272	7939
101	275	7932
102	277	7926
103	280	7920
104	283	7928
105	286	7931
106	289	7925
107	291	7925
108	294	7912
109	296	7908
110	300	7933
111	302	7921
112	305	7923
113	308	7917
114	310	7908
115	313	7899
116	316	7910
117	319	7907
118	321	7898
119	324	7892
120	326	7889
121	329	7882
122	332	7884
123	334	7876
124	337	7867
125	339	7862
126	342	7864
127	345	7860
128	348	7872
129	351	7877
130	354	7874
131	357	7875
132	359	7865
133	362	7860
134	365	7861
135	367	7858
136	370	7847
137	373	7853
138	375	7845
139	378	7839
140	381	7847
141	384	7845
142	386	7839
143	389	7831
144	391	7827
145	394	7815
146	397	7821
147	399	7818
148	402	7810
149	405	7809
150	407	7803
151	410	7800
152	413	7799
153	416	7803
154	418	7799
155	421	7794
156	423	7788
157	426	7778
158	431	7820
159	434	7826
160	436	7813
161	439	7806
162	441	7796
163	445	7822
164	448	7815
165	451	7816
166	453	7808
167	456	7806
168	459	7814
169	462	7813
170	465	7819
171	468	7819
