player_name,last_season,player_club_id,yellow_cards,red_cards,goals,assists,minutes_played
Aaron Connolly,2019,1237,0,0,3,2,1261
Aaron Connolly,2020,1237,0,0,2,1,791
Aaron Connolly,2021,1237,0,0,0,0,155
Aaron Cresswell,2019,379,7,0,3,0,2730
Aaron Cresswell,2020,379,3,0,0,8,3172
Aaron Cresswell,2021,379,3,0,2,3,2728
Aaron Cresswell,2022,379,2,0,0,1,2237
Aaron Cresswell,2023,379,1,0,0,0,145
Aaron Hickey,2020,1025,3,1,0,0,763
Aaron Hickey,2021,1025,7,0,5,1,2834
Aaron Hickey,2022,1148,7,0,0,1,1931
Aaron Hickey,2023,1148,5,0,0,0,720
Aaron Lennon,2019,1132,4,0,0,0,486
Aaron Lennon,2021,1132,2,0,2,0,1549
Aaron Leya Iseka,2019,415,2,0,2,0,765
Aaron Leya Iseka,2020,347,4,0,4,0,1011
Aaron Mooy,2019,1237,3,0,2,2,2089
Aaron Ramsdale,2019,989,0,0,0,1,3330
Aaron Ramsdale,2020,350,1,0,0,0,3420
Aaron Ramsdale,2021,11,1,0,0,0,3060
Aaron Ramsdale,2022,11,1,0,0,0,3420
Aaron Ramsdale,2023,11,0,0,0,0,450
Aaron Ramsey,2019,506,2,0,3,1,1011
Aaron Ramsey,2020,506,2,0,2,5,1132
Aaron Ramsey,2021,506,0,0,0,0,98
Aaron Ramsey,2022,417,3,0,1,2,1588
Aaron Ramsey,2023,1132,1,0,0,0,526
Aaron Seydel,2023,105,1,0,1,0,275
Aaron Tshibola,2019,3336,0,0,0,0,127
Aaron Wan-Bissaka,2019,985,8,0,0,4,3072
Aaron Wan-Bissaka,2020,985,3,0,2,4,3060
Aaron Wan-Bissaka,2021,985,2,0,0,0,1794
Aaron Wan-Bissaka,2022,985,2,0,0,0,1436
Aaron Wan-Bissaka,2023,985,3,0,0,1,885
Aaron Zehnter,2022,167,0,0,0,0,1
Aarón Escandell,2019,16795,0,0,0,0,270
Aarón Escandell,2020,16795,1,0,0,0,450
Aarón Escandell,2021,16795,1,0,0,0,283
Aarón Martín,2019,39,2,0,0,0,1795
Aarón Martín,2020,39,0,0,0,0,261
Aarón Martín,2020,940,1,0,0,3,1541
Aarón Martín,2021,39,7,0,1,1,2296
Aarón Martín,2022,39,3,0,5,3,1846
Aarón Martín,2023,252,4,0,0,0,759
Abakar Sylla,2023,667,2,0,1,0,1227
Abbas Ibrahim,2020,2995,0,0,0,0,273
Abbas Ibrahim,2021,2995,2,0,0,0,175
Abbas Ibrahim,2022,2995,3,0,0,0,326
Abdallah Ndour,2019,667,2,0,0,0,373
Abdallah Sima,2022,1420,0,0,5,2,1833
Abdallahi Mahmoud,2019,1108,1,0,0,0,150
Abdallahi Mahmoud,2020,1108,0,0,0,0,65
Abde Ezzalzouli,2021,131,4,0,1,0,582
Abde Ezzalzouli,2022,331,4,1,4,2,1511
Abde Ezzalzouli,2023,131,0,0,0,0,67
Abde Ezzalzouli,2023,150,1,0,1,0,672
Abde Rebbach,2023,1108,1,0,1,0,610
Abdel Abqar,2023,1108,5,0,0,0,1526
Abdel Medioub,2020,7179,3,0,0,1,1033
Abdel Medioub,2021,40,0,0,0,0,621
Abdelhamid Sabiri,2019,127,6,0,4,1,1035
Abdelhamid Sabiri,2021,1038,3,0,3,2,892
Abdelhamid Sabiri,2022,1038,5,0,2,0,1069
Abdou Diallo,2019,583,4,0,0,1,1203
Abdou Diallo,2020,583,3,1,0,1,1489
Abdou Diallo,2021,583,1,0,0,1,877
Abdou Diallo,2022,23826,2,0,1,0,476
Abdou Harroui,2021,6574,2,0,0,0,434
Abdou Harroui,2022,6574,2,0,2,0,634
Abdou Harroui,2023,8970,2,0,3,2,846
Abdoul Kader Bamba,2019,995,5,0,1,3,1468
Abdoul Kader Bamba,2020,995,2,0,3,1,902
Abdoul Kader Bamba,2022,995,0,0,0,0,76
Abdoul Kader Bamba,2023,995,1,0,1,1,421
Abdoulay Diaby,2019,336,1,0,0,0,81
Abdoulay Diaby,2020,3709,0,0,0,0,17
Abdoulaye Ba,2020,979,2,0,0,0,984
Abdoulaye Ba,2021,979,0,0,0,0,90
Abdoulaye Ba,2021,8024,4,0,0,0,1341
Abdoulaye Bamba,2019,1420,2,0,0,0,643
Abdoulaye Bamba,2020,1420,2,0,0,0,1349
Abdoulaye Bamba,2021,1420,1,0,0,0,455
Abdoulaye Bamba,2022,1420,2,0,0,0,1357
Abdoulaye Diallo,2019,3336,0,0,0,0,48
Abdoulaye Doucouré,2019,1010,9,0,4,2,3167
Abdoulaye Doucouré,2020,29,6,0,2,3,2452
Abdoulaye Doucouré,2021,29,6,0,2,4,2538
Abdoulaye Doucouré,2022,29,6,1,5,2,1530
Abdoulaye Doucouré,2023,29,4,0,6,0,1696
